F0001,B0008,A001,90
F0002,B0402,A001,19
F0003,B0753,A001,93
F0004,B2822,A001,89
F0005,B3889,A001,77
F0006,B4505,A001,8
F0007,B5403,A001,96
F0008,B6721,A001,78
F0009,B7888,A001,69
F0010,B8015,A001,57
F0011,B8063,A001,52
F0012,B0202,A002,83
F0013,B0420,A002,36
F0014,B0531,A002,18
F0015,B0574,A002,52
F0016,B0723,A002,33
F0017,B0866,A002,54
F0018,B1006,A002,40
F0019,B1017,A002,72
F0020,B1348,A002,54
F0021,B1362,A002,69
F0022,B1550,A002,80
F0023,B1848,A002,86
F0024,B2004,A002,56
F0025,B2015,A002,72
F0026,B2195,A002,62
F0027,B2320,A002,51
F0028,B2336,A002,43
F0029,B2652,A002,72
F0030,B2828,A002,75
F0031,B2955,A002,86
F0032,B2999,A002,15
F0033,B3215,A002,41
F0034,B3369,A002,50
F0035,B3468,A002,39
F0036,B3474,A002,85
F0037,B3667,A002,82
F0038,B4037,A002,71
F0039,B4084,A002,73
F0040,B4477,A002,69
F0041,B4714,A002,20
F0042,B4782,A002,73
F0043,B4783,A002,73
F0044,B4835,A002,66
F0045,B5004,A002,72
F0046,B5038,A002,70
F0047,B5204,A002,31
F0048,B5529,A002,37
F0049,B5820,A002,39
F0050,B5825,A002,75
F0051,B5860,A002,37
F0052,B5926,A002,26
F0053,B5984,A002,66
F0054,B6067,A002,55
F0055,B6275,A002,33
F0056,B6532,A002,42
F0057,B6612,A002,32
F0058,B6709,A002,54
F0059,B6877,A002,92
F0060,B6880,A002,45
F0061,B6932,A002,53
F0062,B7436,A002,82
F0063,B7554,A002,75
F0064,B7600,A002,33
F0065,B7626,A002,67
F0066,B7707,A002,62
F0067,B7714,A002,52
F0068,B7729,A002,74
F0069,B7770,A002,84
F0070,B7811,A002,74
F0071,B8373,A002,40
F0072,B8440,A002,49
F0073,B8562,A002,50
F0074,B8902,A002,32
F0075,B9057,A002,77
F0076,B9080,A002,80
F0077,B9186,A002,80
F0078,B9213,A002,88
F0079,B0149,A003,58
F0080,B0354,A003,75
F0081,B0692,A003,94
F0082,B0849,A003,13
F0083,B1336,A003,82
F0084,B1374,A003,82
F0085,B1554,A003,64
F0086,B1688,A003,62
F0087,B1840,A003,74
F0088,B1965,A003,50
F0089,B1966,A003,99
F0090,B1972,A003,43
F0091,B2252,A003,44
F0092,B2305,A003,84
F0093,B2373,A003,84
F0094,B2604,A003,81
F0095,B2627,A003,59
F0096,B3145,A003,25
F0097,B3152,A003,83
F0098,B3290,A003,91
F0099,B3405,A003,39
F0100,B3714,A003,60
F0101,B3832,A003,5
F0102,B3980,A003,54
F0103,B4139,A003,61
F0104,B4218,A003,76
F0105,B4639,A003,67
F0106,B4662,A003,90
F0107,B4815,A003,74
F0108,B4868,A003,79
F0109,B4934,A003,23
F0110,B5272,A003,91
F0111,B5289,A003,65
F0112,B5623,A003,73
F0113,B5900,A003,56
F0114,B6170,A003,98
F0115,B6171,A003,73
F0116,B6297,A003,90
F0117,B6468,A003,21
F0118,B6485,A003,63
F0119,B6710,A003,80
F0120,B6815,A003,54
F0121,B6955,A003,39
F0122,B7092,A003,84
F0123,B7410,A003,57
F0124,B7624,A003,57
F0125,B7650,A003,93
F0126,B8300,A003,64
F0127,B8328,A003,61
F0128,B8591,A003,87
F0129,B8805,A003,34
F0130,B8898,A003,97
F0131,B8997,A003,32
F0132,B0112,A004,58
F0133,B0422,A004,13
F0134,B0958,A004,49
F0135,B1277,A004,50
F0136,B1337,A004,53
F0137,B1450,A004,69
F0138,B1563,A004,39
F0139,B2248,A004,7
F0140,B2399,A004,59
F0141,B3127,A004,85
F0142,B3596,A004,55
F0143,B3774,A004,51
F0144,B3921,A004,90
F0145,B4260,A004,69
F0146,B4321,A004,90
F0147,B4915,A004,93
F0148,B5001,A004,85
F0149,B5240,A004,97
F0150,B5937,A004,85
F0151,B6156,A004,61
F0152,B6195,A004,50
F0153,B6249,A004,22
F0154,B6516,A004,71
F0155,B6610,A004,6
F0156,B7409,A004,71
F0157,B7579,A004,9
F0158,B7973,A004,27
F0159,B8455,A004,85
F0160,B8551,A004,59
F0161,B0490,A005,35
F0162,B0546,A005,28
F0163,B0660,A005,74
F0164,B0784,A005,66
F0165,B1220,A005,51
F0166,B1237,A005,46
F0167,B1528,A005,53
F0168,B1636,A005,62
F0169,B2131,A005,51
F0170,B2183,A005,42
F0171,B2263,A005,51
F0172,B2501,A005,85
F0173,B3092,A005,67
F0174,B3235,A005,43
F0175,B3316,A005,87
F0176,B3490,A005,55
F0177,B3673,A005,54
F0178,B3792,A005,64
F0179,B3892,A005,89
F0180,B3906,A005,52
F0181,B4027,A005,17
F0182,B4370,A005,52
F0183,B4511,A005,44
F0184,B4656,A005,67
F0185,B4733,A005,81
F0186,B4798,A005,50
F0187,B5091,A005,47
F0188,B5227,A005,73
F0189,B5296,A005,49
F0190,B5791,A005,94
F0191,B6002,A005,28
F0192,B6672,A005,69
F0193,B6782,A005,74
F0194,B6803,A005,73
F0195,B6954,A005,64
F0196,B7394,A005,29
F0197,B7446,A005,38
F0198,B7817,A005,71
F0199,B8103,A005,34
F0200,B8132,A005,64
F0201,B8781,A005,21
F0202,B8999,A005,49
F0203,B0025,A006,58
F0204,B0120,A006,37
F0205,B0269,A006,46
F0206,B0333,A006,21
F0207,B0346,A006,68
F0208,B0452,A006,70
F0209,B0592,A006,77
F0210,B0657,A006,33
F0211,B0682,A006,29
